County	District	As Of	Valid Signatures	Total Valid Signatures in County	Total Valid Signatures in District	Total Needed in District
Alachua 	DISTRICT 3	10/18/2017	4151	4397	11168	28538
Alachua 	DISTRICT 5	10/18/2017	246	4397	25894	25290
Baker 	DISTRICT 4	10/26/2017	0	62	8227	34256
Baker 	DISTRICT 5	10/26/2017	62	62	25894	25290
Bay 	DISTRICT 2	10/27/2017	2840	2840	9172	28808
Bradford 	DISTRICT 3	11/01/2017	364	364	11168	28538
Brevard 	DISTRICT 8	11/03/2017	7222	7222	8550	32766
Broward 	DISTRICT 20	10/31/2017	18030	47970	23254	23359
Broward 	DISTRICT 21	10/31/2017	256	47970	7910	28468
Broward 	DISTRICT 22	10/31/2017	12252	47970	13266	28905
Broward 	DISTRICT 23	10/31/2017	15129	47970	15656	27423
Broward 	DISTRICT 24	10/31/2017	2231	47970	16430	21556
Broward 	DISTRICT 25	10/31/2017	72	47970	3482	21599
Calhoun	DISTRICT 2		0	0	9172	28808
Charlotte 	DISTRICT 17	10/30/2017	5059	5059	10999	28805
Citrus 	DISTRICT 11	10/24/2017	839	839	8639	33381
Clay 	DISTRICT 3	11/03/2017	1885	1894	11168	28538
Clay 	DISTRICT 5	11/03/2017	9	1894	25894	25290
Collier 	DISTRICT 19	11/02/2017	678	1496	12284	31154
Collier 	DISTRICT 25	11/02/2017	818	1496	3482	21599
Columbia 	DISTRICT 2	10/26/2017	188	210	9172	28808
Columbia 	DISTRICT 3	10/26/2017	0	210	11168	28538
Columbia 	DISTRICT 5	10/26/2017	22	210	25894	25290
DeSoto 	DISTRICT 17	02/01/2016	85	85	10999	28805
Dixie	DISTRICT 2		0	0	9172	28808
Dixie	DISTRICT 3		0	0	11168	28538
Duval 	DISTRICT 4	11/02/2017	5406	19447	8227	34256
Duval 	DISTRICT 5	11/02/2017	14041	19447	25894	25290
Escambia 	DISTRICT 1	10/25/2017	4781	4781	6050	30921
Flagler 	DISTRICT 6	10/16/2017	1716	1716	12464	30874
Franklin	DISTRICT 2		0	0	9172	28808
Gadsden 	DISTRICT 2	10/31/2017	554	2583	9172	28808
Gadsden 	DISTRICT 5	10/31/2017	2029	2583	25894	25290
Gilchrist	DISTRICT 2		0	0	9172	28808
Gilchrist	DISTRICT 3		0	0	11168	28538
Glades	DISTRICT 17		0	0	10999	28805
Gulf 	DISTRICT 2	10/26/2017	122	122	9172	28808
Hamilton 	DISTRICT 3	10/19/2015	0	0	11168	28538
Hamilton 	DISTRICT 5	10/19/2015	0	0	25894	25290
Hardee 	DISTRICT 17	09/04/2015	0	0	10999	28805
Hendry 	DISTRICT 20	10/20/2017	0	116	23254	23359
Hendry 	DISTRICT 25	10/20/2017	116	116	3482	21599
Hernando 	DISTRICT 11	11/07/2017	3293	3293	8639	33381
Highlands 	DISTRICT 17	10/27/2017	452	452	10999	28805
Hillsborough 	DISTRICT 12	10/27/2017	175	26427	13035	30942
Hillsborough 	DISTRICT 14	10/27/2017	17296	26427	17389	26904
Hillsborough 	DISTRICT 15	10/27/2017	6878	26427	14235	27227
Hillsborough 	DISTRICT 16	10/27/2017	2031	26427	7044	32305
Hillsborough 	DISTRICT 17	10/27/2017	47	26427	10999	28805
Holmes	DISTRICT 1		0	0	6050	30921
Holmes	DISTRICT 2		0	0	9172	28808
Indian River 	DISTRICT 8	11/03/2017	1173	1173	8550	32766
Jackson 	DISTRICT 2	10/27/2017	78	78	9172	28808
Jefferson 	DISTRICT 2	10/20/2017	112	383	9172	28808
Jefferson 	DISTRICT 5	10/20/2017	271	383	25894	25290
Lafayette	DISTRICT 2		0	0	9172	28808
