County	District	Valid Signatures	Total Valid Signatures in County	Total Valid Signatures in District	Total Needed in District	Expected signatures in county + district to make ballot	Number of signatures still needed	Total % of Dem voters that need to sign petition	County %  of Signatures in District	% of Total County Signatures in District	Dem votes in county + district 2016	Dem votes in district 2016	County-district Dem votes (approx)	Total Dem votes in district	County contrib to district
Brevard	DISTRICT 8	5045	5045	6310	32766	25874	20829	21.62%	79.95%	100.00%	119,679	119,679	119,679 	151,558 	78.97%
Palm Beach	DISTRICT 21	7654	16954	7952	28468	27778	20124	16.42%	96.25%	45.15%	206,239	374,673	169,149 	173,350 	97.58%
Miami-Dade	DISTRICT 27	6130	26728	6130	24321	24321	18191	16.99%	100.00%	22.93%	174,132	624,146	143,146 	143,146 	100.00%
Pasco	DISTRICT 12	5691	5691	12531	30942	21339	15648	23.67%	45.42%	100.00%	90,142	90,142	90,142 	130,709 	68.96%
Broward	DISTRICT 22	9866	39249	10880	28905	24894	15028	17.90%	90.68%	25.14%	166,502	553,320	139,088 	161,497 	86.12%
Duval	DISTRICT 4	4444	16444	6806	34256	19388	14944	34.88%	65.30%	27.03%	95,976	205,704	55,592 	98,225 	56.60%
Miami-Dade	DISTRICT 26	6525	26728	6886	23580	20969	14444	13.76%	94.76%	24.41%	145,281	624,146	152,370 	171,341 	88.93%
Osceola	DISTRICT 9	3038	3038	7056	29008	16869	13831	19.74%	43.06%	100.00%	85,458	85,458	85,458 	146,950 	58.15%
Broward	DISTRICT 23	12482	39249	12949	27423	25823	13341	14.67%	96.39%	31.80%	192,073	553,320	175,967 	186,873 	94.16%
Manatee	DISTRICT 16	1971	1972	6044	32305	15249	13278	21.42%	32.61%	99.95%	71,224	71,224	71,188 	150,807 	47.20%
Lee	DISTRICT 19	11606	13460	12065	31154	24800	13194	23.03%	96.20%	86.23%	111,788	124,908	107,703 	135,299 	79.60%
Orange	DISTRICT 10	12240	18028	12422	25644	24994	12754	11.16%	98.53%	67.89%	194,934	329,894	223,980 	229,807 	97.46%
Volusia	DISTRICT 6	8727	8767	11648	30874	21368	12641	19.68%	74.92%	99.54%	109,091	109,091	108,593 	156,901 	69.21%
Hillsborough	DISTRICT 14	14873	22468	14966	26904	26834	11961	13.17%	99.38%	66.20%	188,870	307,896	203,816 	204,349 	99.74%
Escambia	DISTRICT 1	4781	4781	5422	30921	16538	11757	28.78%	88.18%	100.00%	57,461	57,461	57,461 	107,434 	53.48%
Seminole	DISTRICT 7	7406	7457	11080	29638	18106	10700	17.21%	66.84%	99.32%	105,914	105,914	105,190 	172,186 	61.09%
Sarasota	DISTRICT 16	2415	4154	6044	32305	12188	9773	21.42%	39.96%	58.14%	59,335	97,870	56,898 	150,807 	37.73%
Palm Beach	DISTRICT 18	3062	16954	8881	31102	12776	9714	18.88%	34.48%	18.06%	71,492	374,673	67,668 	164,734 	41.08%
Miami-Dade	DISTRICT 25	1978	26728	2742	21599	11658	9680	25.24%	72.14%	7.40%	92,181	624,146	46,190 	85,576 	53.98%
Alachua	DISTRICT 3	4151	4397	10410	28538	13372	9221	18.68%	39.88%	94.41%	75,820	75,820	71,578 	152,757 	46.86%
St. Johns	DISTRICT 4	2082	2828	6806	34256	11066	8984	34.88%	30.59%	73.62%	36,830	43,099	31,730 	98,225 	32.30%
St. Lucie	DISTRICT 18	4557	4557	8881	31102	12627	8070	18.88%	51.31%	100.00%	66,881	66,881	66,881 	164,734 	40.60%
Miami-Dade	DISTRICT 24	11628	26728	13493	21556	19653	8025	7.24%	86.18%	43.50%	195,546	624,146	271,534 	297,827 	91.17%
Collier	DISTRICT 25	557	1016	2742	21599	8452	7895	25.24%	20.31%	54.82%	29,872	61,085	33,489 	85,576 	39.13%
Orange	DISTRICT 7	3634	18028	11080	29638	11446	7812	17.21%	32.80%	20.16%	80,744	329,894	66,498 	172,186 	38.62%
Sarasota	DISTRICT 17	1739	4154	9492	28805	9036	7297	22.05%	18.32%	41.86%	38,535	97,870	40,972 	130,611 	31.37%
Hillsborough	DISTRICT 15	5715	22468	11743	27227	12806	7091	16.35%	48.67%	25.44%	76,335	307,896	78,317 	166,511 	47.03%
Okaloosa	DISTRICT 1	201	201	5422	30921	6844	6643	28.78%	3.71%	100.00%	23,780	23,780	23,780 	107,434 	22.13%
Polk	DISTRICT 15	5598	8895	11743	27227	12085	6487	16.35%	47.67%	62.93%	46,327	117,433	73,906 	166,511 	44.38%
Lake	DISTRICT 11	835	1891	7508	33381	7201	6366	25.95%	11.12%	44.16%	27,207	62,838	27,747 	128,623 	21.57%
Collier	DISTRICT 19	459	1016	12065	31154	6354	5895	23.03%	3.80%	45.18%	31,213	61,085	27,596 	135,299 	20.40%
Hernando	DISTRICT 11	2920	2920	7508	33381	8252	5332	25.95%	38.89%	100.00%	31,795	31,795	31,795 	128,623 	24.72%
Indian River	DISTRICT 8	1110	1110	6310	32766	6279	5169	21.62%	17.59%	100.00%	29,043	29,043	29,043 	151,558 	19.16%
Citrus	DISTRICT 11	839	839	7508	33381	5914	5075	25.95%	11.17%	100.00%	22,789	22,789	22,789 	128,623 	17.72%
Santa Rosa	DISTRICT 1	355	355	5422	30921	5314	4959	28.78%	6.55%	100.00%	18,464	18,464	18,464 	107,434 	17.19%
Sumter	DISTRICT 11	1042	1042	7508	33381	5875	4833	25.95%	13.88%	100.00%	22,638	22,638	22,638 	128,623 	17.60%
Leon	DISTRICT 2	3432	11436	8655	28808	7975	4543	28.86%	39.65%	30.01%	38,163	92,068	27,630 	99,810 	27.68%
Martin	DISTRICT 18	1262	1262	8881	31102	5699	4437	18.88%	14.21%	100.00%	30,185	30,185	30,185 	164,734 	18.32%
Orange	DISTRICT 9	1657	18028	7056	29008	5985	4328	19.74%	23.48%	9.19%	51,526	329,894	30,321 	146,950 	20.63%
Marion	DISTRICT 11	1872	4910	7508	33381	6139	4267	25.95%	24.93%	38.13%	29,019	62,041	23,654 	128,623 	18.39%
Polk	DISTRICT 9	2361	8895	7056	29008	6153	3792	19.74%	33.46%	26.54%	58,384	117,433	31,170 	146,950 	21.21%
Marion	DISTRICT 3	2637	4910	10410	28538	6225	3588	18.68%	25.33%	53.71%	23,688	62,041	33,320 	152,757 	21.81%
Nassau	DISTRICT 4	280	280	6806	34256	3791	3511	34.88%	4.11%	100.00%	10,869	10,869	10,869 	98,225 	11.07%
Bay	DISTRICT 2	2840	2840	8655	28808	6291	3451	28.86%	32.81%	100.00%	21,797	21,797	21,797 	99,810 	21.84%
Clay	DISTRICT 3	1815	1824	10410	28538	5172	3357	18.68%	17.44%	99.51%	27,822	27,822	27,685 	152,757 	18.12%
Duval	DISTRICT 5	12000	16444	23071	25290	15351	3351	10.23%	52.01%	72.97%	109,728	205,704	150,112 	247,311 	60.70%
Hillsborough	DISTRICT 16	1658	22468	6044	32305	4867	3209	21.42%	27.43%	7.38%	39,883	307,896	22,721 	150,807 	15.07%
Palm Beach	DISTRICT 20	5224	16954	19871	23359	8376	3152	7.25%	26.29%	30.81%	61,089	374,673	115,447 	321,976 	35.86%
Charlotte	DISTRICT 17	4254	4254	9492	28805	7376	3122	22.05%	44.82%	100.00%	33,445	33,445	33,445 	130,611 	25.61%
Palm Beach	DISTRICT 22	1014	16954	10880	28905	4011	2997	17.90%	9.32%	5.98%	35,853	374,673	22,409 	161,497 	13.88%
Highlands	DISTRICT 17	452	452	9492	28805	3294	2842	22.05%	4.76%	100.00%	14,937	14,937	14,937 	130,611 	11.44%
Flagler	DISTRICT 6	1716	1716	11648	30874	4334	2618	19.68%	14.73%	100.00%	22,026	22,026	22,026 	156,901 	14.04%
Lake	DISTRICT 6	446	1891	11648	30874	2916	2470	19.68%	3.83%	23.59%	14,067	62,838	14,821 	156,901 	9.45%
Pinellas	DISTRICT 12	6665	40809	12531	30942	9035	2370	23.67%	53.19%	16.33%	54,809	233,701	38,168 	130,709 	29.20%
Monroe	DISTRICT 26	361	361	6886	23580	2611	2250	13.76%	5.24%	100.00%	18,971	18,971	18,971 	171,341 	11.07%
Lee	DISTRICT 17	1854	13460	9492	28805	3794	1940	22.05%	19.53%	13.77%	13,120	124,908	17,205 	130,611 	13.17%
Lake	DISTRICT 15	430	1891	11743	27227	2336	1906	16.35%	3.66%	22.74%	21,564	62,838	14,289 	166,511 	8.58%
Walton	DISTRICT 1	85	85	5422	30921	1979	1894	28.78%	1.57%	100.00%	6,876	6,876	6,876 	107,434 	6.40%
Columbia	DISTRICT 2	188	210	8655	28808	1964	1776	28.86%	2.17%	89.52%	5,850	7,601	6,805 	99,810 	6.82%
